Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"Die Zukunft","die zukunft","COLLOCATION",0,502,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Englische","englische","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Jahre","im jahr","COLLOCATION",0,593,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"- 11-012458-0","- 11-012458-0","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"S. 20","s. 20","COLLOCATION",0,522,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schreibung","schreibung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Stammesdialekte","stammesdialekte","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"betrieben wird","betrieben wird","COLLOCATION",0,855,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"neben Französisch","neben französisch","COLLOCATION",0,618,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"öffentlichen Ämter","öffentlichen ämt","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"De Origem","de origem","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und 56","und 56","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachcodes nach","sprachcodes nach","COLLOCATION",0,835,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Dialektkontinuums","des dialektkontinuums","COLLOCATION",0,621,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vorvogtländisch Süd","vorvogtländisch süd","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und entferne","und entferne","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"existierte vor","existierte vor","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Datenerhebung","datenerhebung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zugang zu","zugang zu","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mobilität","mobilität","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Umerziehung von","umerziehung von","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zürich betrieben","zürich betrieben","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"S. 12","s. 12","COLLOCATION",0,685,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Volkssprache","volkssprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nouvelles d'","nouvelles d'","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"überregionale und","überregional und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wird als","wird als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Jacob Grimm","jacob grimm","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Minderheitensprachen sind","minderheitensprachen sind","COLLOCATION",0,585,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Bereich","im bereich","COLLOCATION",0,557,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"beträgt vielleicht","beträgt vielleicht","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Regionen","regionen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Eine Zeitreise","eine zeitreise","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bevölkerung sprechen","bevölkerung sprechen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die nach","die nach","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schwedisch","schwedisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lautverschiebung nicht","lautverschiebung nicht","COLLOCATION",0,694,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Varietäten und","varietät und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die zweite hochdeutsche","die zweit hochdeutsche","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sich seit","sich seit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"EHF Fédération Internationale","ehf fédération internationale","NAMED_ENTITY",0,850,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mazedonische","mazedonische","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"et de","et de","COLLOCATION",0,718,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Basketball –","basketball –","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"de Luge","de luge","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– Euromosaik-","– euromosaik-","COLLOCATION",0,729,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
